file,x,y,peak,sky,airmass,filter,time
Moris20220926/mor.2022B026.220926.DART1.00001.a.fits,213,332,457,201.611328125,1.676,Johnson_V,13:23:55.513094
Moris20220926/mor.2022B026.220926.DART1.00002.a.fits,213,332,464,201.564453125,1.676,Johnson_V,13:24:23.352360
Moris20220926/mor.2022B026.220926.DART1.00003.a.fits,212,331,433,201.53125,1.676,Johnson_V,13:24:29.842273
Moris20220926/mor.2022B026.220926.DART1.00004.a.fits,212,331,446,201.517578125,1.676,Johnson_V,13:24:36.333538
Moris20220926/mor.2022B026.220926.DART1.00005.a.fits,212,330,466,201.5703125,1.676,Johnson_V,13:24:42.831144
Moris20220926/mor.2022B026.220926.DART1.00006.a.fits,212,331,401,201.6171875,1.676,Johnson_V,13:24:49.323107
Moris20220926/mor.2022B026.220926.DART1.00007.a.fits,212,332,447,201.6875,1.676,Johnson_V,13:24:55.831492
Moris20220926/mor.2022B026.220926.DART1.00008.a.fits,212,332,409,201.61328125,1.676,Johnson_V,13:25:02.371711
Moris20220926/mor.2022B026.220926.DART1.00009.a.fits,212,330,440,201.583984375,1.676,Johnson_V,13:25:08.881692
Moris20220926/mor.2022B026.220926.DART1.00010.a.fits,212,330,430,201.59765625,1.676,Johnson_V,13:25:15.389949
Moris20220926/mor.2022B026.220926.DART1.00011.a.fits,212,331,448,201.5234375,1.676,Johnson_V,13:25:21.911067
Moris20220926/mor.2022B026.220926.DART1.00012.a.fits,212,332,468,201.666015625,1.676,Johnson_V,13:25:28.412404
Moris20220926/mor.2022B026.220926.DART1.00013.a.fits,212,331,470,201.74609375,1.676,Johnson_V,13:25:34.922029
Moris20220926/mor.2022B026.220926.DART1.00014.a.fits,213,331,379,201.669921875,1.676,Johnson_V,13:25:41.440885
Moris20220926/mor.2022B026.220926.DART1.00015.a.fits,276,330,441,201.599609375,1.676,Johnson_V,13:25:47.942831
Moris20220926/mor.2022B026.220926.DART1.00016.a.fits,277,330,443,201.67578125,1.676,Johnson_V,13:25:54.431370
Moris20220926/mor.2022B026.220926.DART1.00017.a.fits,277,331,466,201.609375,1.676,Johnson_V,13:26:00.939994
Moris20220926/mor.2022B026.220926.DART1.00018.a.fits,277,331,484,201.5234375,1.676,Johnson_V,13:26:07.473218
Moris20220926/mor.2022B026.220926.DART1.00019.a.fits,277,330,442,201.69921875,1.676,Johnson_V,13:26:13.961205
Moris20220926/mor.2022B026.220926.DART1.00020.a.fits,277,331,430,201.6328125,1.676,Johnson_V,13:26:20.462538
Moris20220926/mor.2022B026.220926.DART1.00021.a.fits,277,331,455,201.705078125,1.676,Johnson_V,13:26:26.972313
Moris20220926/mor.2022B026.220926.DART1.00022.a.fits,276,330,453,201.486328125,1.676,Johnson_V,13:26:33.472113
Moris20220926/mor.2022B026.220926.DART1.00023.a.fits,277,331,457,201.677734375,1.676,Johnson_V,13:26:39.991939
Moris20220926/mor.2022B026.220926.DART1.00024.a.fits,276,331,425,201.5,1.677,Johnson_V,13:26:46.491812
Moris20220926/mor.2022B026.220926.DART1.00025.a.fits,276,331,437,201.55859375,1.677,Johnson_V,13:26:53.000810
Moris20220926/mor.2022B026.220926.DART1.00026.a.fits,276,331,488,201.599609375,1.677,Johnson_V,13:26:59.512244
Moris20220926/mor.2022B026.220926.DART1.00027.a.fits,275,331,434,201.619140625,1.677,Johnson_V,13:27:06.710948
Moris20220926/mor.2022B026.220926.DART1.00028.a.fits,276,331,475,201.70703125,1.677,Johnson_V,13:27:13.223117
Moris20220926/mor.2022B026.220926.DART1.00029.a.fits,277,333,484,201.55859375,1.677,Johnson_V,13:27:19.722208
Moris20220926/mor.2022B026.220926.DART1.00030.a.fits,276,330,395,201.484375,1.677,Johnson_V,13:27:26.224144
Moris20220926/mor.2022B026.220926.DART1.00031.a.fits,277,330,434,201.623046875,1.677,Johnson_V,13:27:32.731772
Moris20220926/mor.2022B026.220926.DART1.00032.a.fits,276,332,408,201.673828125,1.677,Johnson_V,13:27:39.241756
Moris20220926/mor.2022B026.220926.DART1.00033.a.fits,277,330,447,201.681640625,1.677,Johnson_V,13:27:45.753250
Moris20220926/mor.2022B026.220926.DART1.00034.a.fits,277,331,422,201.654296875,1.677,Johnson_V,13:27:52.241617
Moris20220926/mor.2022B026.220926.DART1.00035.a.fits,277,332,423,201.669921875,1.677,Johnson_V,13:27:58.742381
Moris20220926/mor.2022B026.220926.DART1.00036.a.fits,276,330,438,201.673828125,1.677,Johnson_V,13:28:05.241652
Moris20220926/mor.2022B026.220926.DART1.00037.a.fits,277,332,493,201.697265625,1.677,Johnson_V,13:28:12.131954
Moris20220926/mor.2022B026.220926.DART1.00038.a.fits,277,332,428,201.6328125,1.677,Johnson_V,13:28:18.616832
Moris20220926/mor.2022B026.220926.DART1.00039.a.fits,277,330,423,201.6796875,1.677,Johnson_V,13:28:25.101156
Moris20220926/mor.2022B026.220926.DART1.00040.a.fits,276,329,400,201.642578125,1.677,Johnson_V,13:28:31.582368
