atoms,wavelength(um),source
H,4.051,https://en.wikipedia.org/wiki/Hydrogen_spectral_series
H,4.654,https://en.wikipedia.org/wiki/Hydrogen_spectral_series
H,4.673,https://en.wikipedia.org/wiki/Hydrogen_spectral_series
H,5.129,https://en.wikipedia.org/wiki/Hydrogen_spectral_series
H,5.908,https://en.wikipedia.org/wiki/Hydrogen_spectral_series
H,7.46,https://en.wikipedia.org/wiki/Hydrogen_spectral_series
H,7.503,https://en.wikipedia.org/wiki/Hydrogen_spectral_series
H,12.37,https://en.wikipedia.org/wiki/Hydrogen_spectral_series
H,22.331,https://irsa.ipac.caltech.edu/data/SPITZER/docs/irs/irsinstrumenthandbook/25/#_Toc312238559
H,27.803,https://irsa.ipac.caltech.edu/data/SPITZER/docs/irs/irsinstrumenthandbook/25/#_Toc312238559
H,29.84,https://irsa.ipac.caltech.edu/data/SPITZER/docs/irs/irsinstrumenthandbook/25/#_Toc312238559
