ion,n2-n1,vacuumwavel,r.err
HeII,14-6,1.0048008E+00,3.7E-06
DI,7-3,1.0049394E+00,2.2E-06
HI,7-3,1.0052128E+00,2.2E-06
HeII,5-4,1.0126385E+00,1.6E-05
HeII,13-6,1.0422669E+00,3.8E-06
HeII,12-6,1.0936607E+00,4.0E-06
DI,6-3,1.0938114E+00,2.4E-06
HI,6-3,1.0941090E+00,2.4E-06
HeII,7-5,1.1629602E+00,8.3E-06
HeII,11-6,1.1676436E+00,4.3E-06
HeII,25-7,1.2114231E+00,2.6E-06
HeII,24-7,1.2202538E+00,2.6E-06
HeII,23-7,1.2304182E+00,2.7E-06
HeII,22-7,1.2422083E+00,2.7E-06
HeII,21-7,1.2560034E+00,2.7E-06
HeII,20-7,1.2723048E+00,2.7E-06
HeII,10-6,1.2816336E+00,4.8E-06
DI,5-3,1.2818100E+00,2.8E-06
HI,5-3,1.2821587E+00,2.8E-06
HeII,19-7,1.2917870E+00,2.8E-06
HeII,18-7,1.3153781E+00,2.8E-06
HeII,17-7,1.3443888E+00,2.9E-06
HeII,16-7,1.3807273E+00,3.0E-06
HeII,15-7,1.4272765E+00,3.1E-06
HeII,9-6,1.4764420E+00,5.6E-06
HeII,14-7,1.4885966E+00,3.2E-06
DI,25-4,1.4967352E+00,1.3E-06
HI,25-4,1.4971425E+00,1.3E-06
DI,24-4,1.5000879E+00,1.3E-06
HI,24-4,1.5004961E+00,1.3E-06
DI,23-4,1.5039056E+00,1.3E-06
HI,23-4,1.5043147E+00,1.3E-06
DI,22-4,1.5082793E+00,1.3E-06
HI,22-4,1.5086896E+00,1.3E-06
DI,21-4,1.5133240E+00,1.3E-06
HI,21-4,1.5137357E+00,1.3E-06
DI,20-4,1.5191862E+00,1.3E-06
HI,20-4,1.5195996E+00,1.3E-06
DI,19-4,1.5260556E+00,1.3E-06
HI,19-4,1.5264708E+00,1.3E-06
DI,18-4,1.5341808E+00,1.3E-06
HI,18-4,1.5345982E+00,1.3E-06
DI,17-4,1.5438938E+00,1.3E-06
HI,17-4,1.5443139E+00,1.3E-06
DI,16-4,1.5556467E+00,1.3E-06
HI,16-4,1.5560699E+00,1.3E-06
DI,15-4,1.5700680E+00,1.4E-06
HI,15-4,1.5704952E+00,1.4E-06
HeII,13-7,1.5723301E+00,3.4E-06
DI,14-4,1.5880559E+00,1.4E-06
HI,14-4,1.5884880E+00,1.4E-06
DI,13-4,1.6109331E+00,1.4E-06
HI,13-4,1.6113714E+00,1.4E-06
HeII,25-8,1.6245756E+00,2.2E-06
HeII,24-8,1.6404964E+00,2.3E-06
DI,12-4,1.6407210E+00,1.4E-06
HI,12-4,1.6411674E+00,1.4E-06
HeII,23-8,1.6589201E+00,2.3E-06
HeII,22-8,1.6804238E+00,2.3E-06
DI,11-4,1.6806539E+00,1.5E-06
HI,11-4,1.6811111E+00,1.5E-06
HeII,12-7,1.6922993E+00,3.7E-06
HeII,21-8,1.7057681E+00,2.3E-06
HeII,20-8,1.7359750E+00,2.4E-06
DI,10-4,1.7362126E+00,1.5E-06
HI,10-4,1.7366850E+00,1.5E-06
HeII,19-8,1.7724480E+00,2.4E-06
HeII,18-8,1.8171652E+00,2.5E-06
DI,9-4,1.8174139E+00,1.6E-06
HI,9-4,1.8179084E+00,1.6E-06
HeII,6-5,1.8641866E+00,1.5E-05
HeII,17-8,1.8730012E+00,2.6E-06
HeII,8-6,1.8748468E+00,7.4E-06
DI,4-3,1.8751031E+00,4.5E-06
HI,4-3,1.8756133E+00,4.5E-06
HeII,11-7,1.8762520E+00,4.2E-06
HeII,16-8,1.9442919E+00,2.7E-06
DI,8-4,1.9445580E+00,1.7E-06
HI,8-4,1.9450871E+00,1.7E-06
HeII,15-8,2.0378837E+00,2.8E-06
HeII,25-9,2.1203586E+00,2.0E-06
HeII,24-9,2.1475609E+00,2.0E-06
HeII,14-8,2.1652343E+00,3.0E-06
DI,7-4,2.1655304E+00,1.9E-06
HI,7-4,2.1661196E+00,1.9E-06
HeII,23-9,2.1792440E+00,2.0E-06
HeII,10-7,2.1891128E+00,5.0E-06
HeII,22-9,2.2165040E+00,2.0E-06
HeII,21-9,2.2608112E+00,2.1E-06
HeII,20-9,2.3141820E+00,2.1E-06
HeII,13-8,2.3470382E+00,3.3E-06
DI,25-5,2.3737311E+00,9.9E-07
HI,25-5,2.3743770E+00,9.9E-07
HeII,19-9,2.3794543E+00,2.2E-06
DI,24-5,2.3821749E+00,9.9E-07
HI,24-5,2.3828230E+00,9.9E-07
DI,23-5,2.3918167E+00,9.9E-07
HI,23-5,2.3924675E+00,9.9E-07
DI,22-5,2.4028985E+00,1.0E-06
HI,22-5,2.4035523E+00,1.0E-06
DI,21-5,2.4157279E+00,1.0E-06
HI,21-5,2.4163852E+00,1.0E-06
DI,20-5,2.4307006E+00,1.0E-06
HI,20-5,2.4313620E+00,1.0E-06
DI,19-5,2.4483341E+00,1.0E-06
HI,19-5,2.4490002E+00,1.0E-06
HeII,18-9,2.4607468E+00,2.3E-06
DI,18-5,2.4693154E+00,1.0E-06
HI,18-5,2.4699873E+00,1.0E-06
DI,17-5,2.4945755E+00,1.0E-06
HI,17-5,2.4952543E+00,1.0E-06
DI,16-5,2.5254032E+00,1.0E-06
HI,16-5,2.5260903E+00,1.0E-06
DI,15-5,2.5636295E+00,1.1E-06
HeII,17-9,2.5642639E+00,2.4E-06
HI,15-5,2.5643270E+00,1.1E-06
DI,14-5,2.6119370E+00,1.1E-06
HI,14-5,2.6126477E+00,1.1E-06
HeII,12-8,2.6247944E+00,3.8E-06
DI,6-4,2.6251529E+00,2.4E-06
HI,6-4,2.6258672E+00,2.4E-06
DI,13-5,2.6744036E+00,1.1E-06
HI,13-5,2.6751312E+00,1.1E-06
HeII,16-9,2.6997909E+00,2.5E-06
HeII,25-10,2.7124654E+00,1.7E-06
HeII,24-10,2.7571413E+00,1.8E-06
DI,12-5,2.7575174E+00,1.2E-06
HI,12-5,2.7582677E+00,1.2E-06
HeII,23-10,2.8095830E+00,1.8E-06
HeII,9-7,2.8260078E+00,6.8E-06
HeII,22-10,2.8718227E+00,1.9E-06
DI,11-5,2.8722144E+00,1.2E-06
HI,11-5,2.8729959E+00,1.2E-06
HeII,15-9,2.8836878E+00,2.7E-06
HeII,21-10,2.9466442E+00,1.9E-06
HeII,20-10,3.0379612E+00,2.0E-06
DI,10-5,3.0383756E+00,1.3E-06
HI,10-5,3.0392023E+00,1.3E-06
HeII,7-6,3.0916927E+00,1.3E-05
HeII,11-8,3.0955179E+00,4.6E-06
HeII,14-9,3.1454766E+00,3.0E-06
HeII,19-10,3.1514483E+00,2.0E-06
HeII,18-10,3.2956455E+00,2.2E-06
DI,9-5,3.2960949E+00,1.4E-06
HI,9-5,3.2969917E+00,1.4E-06
HeII,25-11,3.4188385E+00,1.6E-06
DI,25-6,3.4820120E+00,7.9E-07
HI,25-6,3.4829594E+00,7.9E-07
HeII,17-10,3.4840112E+00,2.3E-06
HeII,24-11,3.4901186E+00,1.6E-06
DI,24-6,3.5002113E+00,7.9E-07
HI,24-6,3.5011637E+00,7.9E-07
DI,23-6,3.5210671E+00,8.0E-07
HI,23-6,3.5220251E+00,8.0E-07
HeII,13-9,3.5443148E+00,3.5E-06
DI,22-6,3.5451359E+00,8.0E-07
HI,22-6,3.5461005E+00,8.0E-07
DI,21-6,3.5731324E+00,8.1E-07
HI,21-6,3.5741046E+00,8.1E-07
HeII,23-11,3.5745766E+00,1.7E-06
DI,20-6,3.6059869E+00,8.2E-07
HI,20-6,3.6069680E+00,8.2E-07
DI,19-6,3.6449315E+00,8.3E-07
HI,19-6,3.6459233E+00,8.3E-07
HeII,22-11,3.6759351E+00,1.7E-06
DI,18-6,3.6916291E+00,8.4E-07
