miri_target,miri_obs_date,nircam_target,nircam_obs_date,miri_ra,miri_dec,miri_coord,set_release,miri_release,nircam_release,overlap,runner_up,runner_up_overlap,miri_status,nircam_status,n_miri_images,n_nircam_images,ready,announced,image_post
GC_61,2026-09-18 15:16:28,GC_76,2026-09-19 16:11:42,266.544002,-28.867222,17:46:10.6 -28:52:02.0,2026-09-20 10:14:03,2026-09-18 23:07:09,2026-09-20 10:14:03,0.996,GC_77,0.288,observed,observed,1,40,False,bot,
GC_60,2026-09-18 14:33:52,GC_75,2026-09-19 15:38:59,266.579262,-28.885989,17:46:19.0 -28:53:09.6,2026-09-20 09:41:52,2026-09-18 23:05:59,2026-09-20 09:41:52,0.996,GC_76,0.217,observed,observed,1,60,False,bot,
GC_46,2026-09-18 13:48:44,GC_61,2026-09-18 15:16:35,266.503231,-28.995173,17:46:00.8 -28:59:42.6,2026-09-18 23:17:55,2026-09-18 22:33:41,2026-09-18 23:17:55,0.996,GC_62,0.29,observed,observed,1,2,True,manual,
GC_108,2026-09-14 00:36:14,GC_121,2026-09-12 21:09:53,266.844108,-28.503778,17:47:22.6 -28:30:13.6,2026-09-15 04:38:42,2026-09-14 07:59:54,2026-09-15 04:38:42,1.0,GC_122,0.231,observed,observed,1,2,True,manual,
GC_112,2026-09-13 22:09:32,GC_125,2026-09-13 01:00:49,266.703457,-28.428713,17:46:48.8 -28:25:43.4,2026-09-15 04:33:08,2026-09-14 03:25:33,2026-09-15 04:33:08,0.999,GC_118,0.139,observed,observed,1,2,True,manual,
GC_121,2026-09-12 21:09:55,GC_134,2026-09-12 12:30:31,266.884268,-28.375751,17:47:32.2 -28:22:32.7,2026-09-15 04:26:10,2026-09-15 04:26:10,2026-09-12 23:14:52,1.0,GC_135,0.231,observed,observed,1,2,True,manual,
GC_109,2026-09-13 23:53:41,GC_122,2026-09-12 20:30:13,266.808892,-28.484948,17:47:14.1 -28:29:05.8,2026-09-15 04:08:37,2026-09-14 07:09:45,2026-09-15 04:08:37,1.0,GC_123,0.231,observed,observed,1,2,True,manual,
GC_120,2026-09-13 01:47:04,GC_133,2026-09-12 13:13:11,266.919415,-28.394361,17:47:40.7 -28:23:39.7,2026-09-15 04:05:04,2026-09-15 04:05:04,2026-09-13 00:05:45,1.0,GC_134,0.231,observed,observed,1,2,True,manual,
GC_122,2026-09-12 20:29:58,GC_135,2026-09-12 11:47:28,266.849118,-28.357093,17:47:23.8 -28:21:25.5,2026-09-15 03:32:46,2026-09-15 03:32:46,2026-09-12 21:27:55,1.0,GC_136,0.278,observed,observed,1,2,True,manual,
GC_111,2026-09-13 22:52:41,GC_124,2026-09-12 18:56:05,266.738553,-28.447595,17:46:57.3 -28:26:51.3,2026-09-14 21:59:38,2026-09-14 05:20:38,2026-09-14 21:59:38,0.999,GC_125,0.231,observed,observed,1,2,True,manual,
GC_124,2026-09-12 18:56:01,GC_137,2026-09-11 11:51:55,266.778817,-28.319613,17:47:06.9 -28:19:10.6,2026-09-14 21:50:12,2026-09-14 21:50:12,2026-09-13 01:52:40,1.0,GC_130,0.139,observed,observed,1,2,True,manual,
GC_98,2026-09-14 06:31:24,GC_112,2026-09-13 22:09:40,266.663002,-28.556827,17:46:39.1 -28:33:24.6,2026-09-14 15:59:31,2026-09-14 15:59:31,2026-09-14 03:45:35,0.996,GC_113,0.19,observed,observed,1,2,True,manual,
GC_114,2026-09-13 20:47:04,GC_127,2026-09-12 17:27:05,266.881776,-28.449143,17:47:31.6 -28:26:56.9,2026-09-14 14:32:07,2026-09-14 14:32:07,2026-09-13 03:47:25,1.0,GC_128,0.231,observed,observed,1,2,True,manual,
GC_105,2026-09-14 03:22:56,GC_118,2026-09-13 02:55:20,266.700827,-28.502115,17:46:48.2 -28:30:07.6,2026-09-14 09:46:22,2026-09-14 09:46:22,2026-09-13 16:46:11,0.999,GC_119,0.283,observed,observed,1,2,True,manual,
GC_116,2026-09-13 04:20:51,GC_129,2026-09-12 16:01:23,266.811442,-28.411789,17:47:14.7 -28:24:42.4,2026-09-13 18:37:22,2026-09-13 18:37:22,2026-09-13 01:02:00,1.0,GC_130,0.231,observed,observed,1,2,True,manual,
GC_117,2026-09-13 03:38:07,GC_130,2026-09-12 15:21:35,266.77629,-28.393008,17:47:06.3 -28:23:34.8,2026-09-13 17:29:41,2026-09-13 17:29:41,2026-09-13 02:44:49,1.0,GC_131,0.231,observed,observed,1,2,True,manual,
GC_118,2026-09-13 02:55:03,GC_131,2026-09-12 14:42:07,266.741141,-28.374281,17:46:57.9 -28:22:27.4,2026-09-13 16:26:43,2026-09-13 16:26:43,2026-09-13 00:51:00,1.0,GC_124,0.139,observed,observed,1,2,True,manual,
GC_1,,GC_14,,266.192399,-29.351175,17:44:46.2 -29:21:04.2,,,,0.793,GC_15,0.484,planned,planned,6,6,False,,
GC_2,,GC_15,,266.157039,-29.332292,17:44:37.7 -29:19:56.2,,,,0.792,GC_16,0.486,planned,planned,6,6,False,,
GC_3,,GC_16,,266.121692,-29.3134,17:44:29.2 -29:18:48.2,,,,0.791,GC_17,0.487,planned,planned,6,6,False,,
GC_4,,GC_17,,266.086358,-29.294497,17:44:20.7 -29:17:40.2,,,,0.79,GC_11,0.121,planned,planned,6,6,False,,
GC_5,,,,266.051038,-29.275586,17:44:12.2 -29:16:32.1,,,,0.0,,0.0,planned,planned,6,0,False,,
GC_6,,GC_19,,266.266091,-29.315569,17:45:03.9 -29:18:56.0,,,,0.795,GC_20,0.482,planned,planned,6,6,False,,
GC_7,,GC_20,,266.23073,-29.296705,17:44:55.4 -29:17:48.1,,,,0.794,GC_21,0.483,planned,planned,6,6,False,,
GC_8,,GC_21,,266.195382,-29.277833,17:44:46.9 -29:16:40.2,,,,0.793,GC_22,0.484,planned,planned,6,6,False,,
GC_9,,GC_22,,266.160047,-29.25895,17:44:38.4 -29:15:32.2,,,,0.792,GC_23,0.486,planned,planned,6,6,False,,
GC_10,,GC_23,,266.124724,-29.240058,17:44:29.9 -29:14:24.2,,,,0.791,GC_24,0.487,planned,planned,6,6,False,,
GC_11,,GC_24,,266.089415,-29.221158,17:44:21.5 -29:13:16.2,,,,0.79,,0.0,planned,planned,6,6,False,,
GC_12,,GC_26,,266.304369,-29.26108,17:45:13.0 -29:15:39.9,,,,0.796,GC_27,0.481,planned,planned,6,6,False,,
