obsid,proposal_id,proposal_pi,target_name,instrument_name,obs_title,jpegURL,t_max,t_obs_release,dataURL
266468178,5893,"Kakiichi, Koki",C3D-13_CWEBTILE-2-3,NIRCAM/IMAGE,COSMOS-3D: A Legacy Spectroscopic/Imaging Survey of the Early Universe,mast:JWST/product/jw05893-o013_t013_nircam_clear-f356w_i2d.jpg,2025-05-26 00:10:06.865,2025-05-26 13:43:01.993,mast:JWST/product/jw05893-o013_t013_nircam_clear-f356w_i2d.fits
266468270,5893,"Kakiichi, Koki",C3D-13_CWEBTILE-2-3,NIRCAM/IMAGE,COSMOS-3D: A Legacy Spectroscopic/Imaging Survey of the Early Universe,mast:JWST/product/jw05893-o013_t013_nircam_clear-f115w_i2d.jpg,2025-05-26 00:10:06.801,2025-05-26 13:43:01.993,mast:JWST/product/jw05893-o013_t013_nircam_clear-f115w_i2d.fits
266468177,5893,"Kakiichi, Koki",C3D-13_CWEBTILE-2-3,MIRI/IMAGE,COSMOS-3D: A Legacy Spectroscopic/Imaging Survey of the Early Universe,mast:JWST/product/jw05893-o013_t013_miri_f1000w_i2d.jpg,2025-05-26 00:09:59.953,2025-05-26 13:20:09.986,mast:JWST/product/jw05893-o013_t013_miri_f1000w_i2d.fits
266468179,5893,"Kakiichi, Koki",C3D-13_CWEBTILE-2-3,MIRI/IMAGE,COSMOS-3D: A Legacy Spectroscopic/Imaging Survey of the Early Universe,mast:JWST/product/jw05893-o013_t013_miri_f2100w_i2d.jpg,2025-05-25 23:42:42.643,2025-05-26 13:20:09.986,mast:JWST/product/jw05893-o013_t013_miri_f2100w_i2d.fits
215439952,1243,"Lilly, Simon J.",J1030+0524-Tile-2,NIRCAM/IMAGE,Exploring the End of Cosmic Reionization,mast:JWST/product/jw01243-o013_t007_nircam_clear-f356w_i2d.jpg,2024-05-25 20:55:32.818,2025-05-26 03:20:03.992,mast:JWST/product/jw01243-o013_t007_nircam_clear-f356w_i2d.fits
227599699,1243,"Lilly, Simon J.",J1030+0524-Tile-2,NIRCAM/IMAGE,Exploring the End of Cosmic Reionization,mast:JWST/product/jw01243-o013_t007_nircam_clear-f200w_i2d.jpg,2024-05-25 20:55:32.818,2025-05-26 03:20:03.992,mast:JWST/product/jw01243-o013_t007_nircam_clear-f200w_i2d.fits
266461474,6657,"Volk, Kevin",ECLIPTIC-RA120,NIRISS/IMAGE,CAL-NIS-306: NIRCam and NIRISS Sky Flats,mast:JWST/product/jw06657-o006_t007_niriss_clearp-f380m_i2d.jpg,2025-05-25 01:09:08.514,2025-05-25 11:56:21.997,mast:JWST/product/jw06657-o006_t007_niriss_clearp-f380m_i2d.fits
266461473,6657,"Volk, Kevin",ECLIPTIC-RA120,NIRCAM/IMAGE,CAL-NIS-306: NIRCam and NIRISS Sky Flats,mast:JWST/product/jw06657-o006_t007_nircam_clear-f070w_i2d.jpg,2025-05-25 01:09:50.178,2025-05-25 11:56:19.998,mast:JWST/product/jw06657-o006_t007_nircam_clear-f070w_i2d.fits
266461472,6657,"Volk, Kevin",ECLIPTIC-RA120,NIRCAM/IMAGE,CAL-NIS-306: NIRCam and NIRISS Sky Flats,mast:JWST/product/jw06657-o006_t007_nircam_clear-f360m_i2d.jpg,2025-05-25 01:09:50.178,2025-05-25 11:56:19.998,mast:JWST/product/jw06657-o006_t007_nircam_clear-f360m_i2d.fits
215424301,2919,"Kilic, Mukremin",GD-362,MIRI/IMAGE,Life After Death: Finding Water in a Planetary Disk around a White Dwarf,mast:JWST/product/jw02919-o003_t001_miri_f1800w_i2d.jpg,2024-05-25 01:47:49.461,2025-05-25 04:34:56.001,mast:JWST/product/jw02919-o003_t001_miri_f1800w_i2d.fits
215424306,2919,"Kilic, Mukremin",GD-362,MIRI/IMAGE,Life After Death: Finding Water in a Planetary Disk around a White Dwarf,mast:JWST/product/jw02919-o003_t001_miri_f2100w_i2d.jpg,2024-05-25 00:46:15.768,2025-05-25 04:34:56.001,mast:JWST/product/jw02919-o003_t001_miri_f2100w_i2d.fits
215424304,2919,"Kilic, Mukremin",GD-362,MIRI/IMAGE,Life After Death: Finding Water in a Planetary Disk around a White Dwarf,mast:JWST/product/jw02919-o003_t001_miri_f2550w_i2d.jpg,2024-05-25 01:37:08.373,2025-05-25 04:34:56.001,mast:JWST/product/jw02919-o003_t001_miri_f2550w_i2d.fits
215408681,3954,"Lelli, Federico",J1000+0234,MIRI/IMAGE,Luminous and dark matter in massive galaxies at z=4-5,mast:JWST/product/jw03954-o021_t009_miri_f770w_i2d.jpg,2024-05-24 19:19:02.024,2025-05-25 01:56:48.994,mast:JWST/product/jw03954-o021_t009_miri_f770w_i2d.fits
266453688,6480,"Schouws, Sander",UVISTA-J-1212,NIRCAM/IMAGE,Revealing the Lifecycle and Environment of Massive z~7 Galaxies,mast:JWST/product/jw06480-o023_t023_nircam_clear-f200w_i2d.jpg,2025-05-24 15:12:16.077,2025-05-24 18:09:00.000,mast:JWST/product/jw06480-o023_t023_nircam_clear-f200w_i2d.fits
266453689,6480,"Schouws, Sander",UVISTA-J-1212,NIRCAM/IMAGE,Revealing the Lifecycle and Environment of Massive z~7 Galaxies,mast:JWST/product/jw06480-o023_t023_nircam_clear-f090w_i2d.jpg,2025-05-24 14:24:29.328,2025-05-24 18:09:00.000,mast:JWST/product/jw06480-o023_t023_nircam_clear-f090w_i2d.fits
266453686,6480,"Schouws, Sander",UVISTA-J-1212,NIRCAM/IMAGE,Revealing the Lifecycle and Environment of Massive z~7 Galaxies,mast:JWST/product/jw06480-o023_t023_nircam_clear-f444w_i2d.jpg,2025-05-24 15:12:16.077,2025-05-24 18:09:00.000,mast:JWST/product/jw06480-o023_t023_nircam_clear-f444w_i2d.fits
266453687,6480,"Schouws, Sander",UVISTA-J-1212,NIRCAM/IMAGE,Revealing the Lifecycle and Environment of Massive z~7 Galaxies,mast:JWST/product/jw06480-o023_t023_nircam_clear-f150w_i2d.jpg,2025-05-24 14:48:06.542,2025-05-24 18:09:00.000,mast:JWST/product/jw06480-o023_t023_nircam_clear-f150w_i2d.fits
266453486,6480,"Schouws, Sander",UVISTA-Y-003,NIRCAM/IMAGE,Revealing the Lifecycle and Environment of Massive z~7 Galaxies,mast:JWST/product/jw06480-o019_t019_nircam_clear-f150w_i2d.jpg,2025-05-24 13:04:08.469,2025-05-24 17:02:54.989,mast:JWST/product/jw06480-o019_t019_nircam_clear-f150w_i2d.fits
266453483,6480,"Schouws, Sander",UVISTA-Y-003,NIRCAM/IMAGE,Revealing the Lifecycle and Environment of Massive z~7 Galaxies,mast:JWST/product/jw06480-o019_t019_nircam_clear-f200w_i2d.jpg,2025-05-24 13:28:17.939,2025-05-24 17:02:54.989,mast:JWST/product/jw06480-o019_t019_nircam_clear-f200w_i2d.fits
266453484,6480,"Schouws, Sander",UVISTA-Y-003,NIRCAM/IMAGE,Revealing the Lifecycle and Environment of Massive z~7 Galaxies,mast:JWST/product/jw06480-o019_t019_nircam_clear-f090w_i2d.jpg,2025-05-24 12:40:41.942,2025-05-24 17:02:54.989,mast:JWST/product/jw06480-o019_t019_nircam_clear-f090w_i2d.fits
266453485,6480,"Schouws, Sander",UVISTA-Y-003,NIRCAM/IMAGE,Revealing the Lifecycle and Environment of Massive z~7 Galaxies,mast:JWST/product/jw06480-o019_t019_nircam_clear-f444w_i2d.jpg,2025-05-24 13:28:17.939,2025-05-24 17:02:54.989,mast:JWST/product/jw06480-o019_t019_nircam_clear-f444w_i2d.fits
266452599,6434,"Egami, Eiichi",UNKNOWN,NIRCAM/IMAGE,SAPPHIRES: Slitless Areal Pure-Parallel High-Redshift Emission Survey,mast:JWST/product/jw06434-c1098_t000_nircam_clear-f444w_i2d.jpg,2025-05-24 03:19:00.471,2025-05-24 13:32:08.992,mast:JWST/product/jw06434-c1098_t000_nircam_clear-f444w_i2d.fits
266452598,6434,"Egami, Eiichi",UNKNOWN,NIRCAM/IMAGE,SAPPHIRES: Slitless Areal Pure-Parallel High-Redshift Emission Survey,mast:JWST/product/jw06434-c1098_t000_nircam_clear-f090w_i2d.jpg,2025-05-24 03:19:00.471,2025-05-24 13:32:08.992,mast:JWST/product/jw06434-c1098_t000_nircam_clear-f090w_i2d.fits
266453986,5893,"Kakiichi, Koki",C3D-16_CWEBTILE-2-15,NIRCAM/IMAGE,COSMOS-3D: A Legacy Spectroscopic/Imaging Survey of the Early Universe,mast:JWST/product/jw05893-o016_t016_nircam_clear-f115w_i2d.jpg,2025-05-23 18:48:43.989,2025-05-24 12:41:54.998,mast:JWST/product/jw05893-o016_t016_nircam_clear-f115w_i2d.fits
266453987,5893,"Kakiichi, Koki",C3D-16_CWEBTILE-2-15,NIRCAM/IMAGE,COSMOS-3D: A Legacy Spectroscopic/Imaging Survey of the Early Universe,mast:JWST/product/jw05893-o016_t016_nircam_clear-f200w_i2d.jpg,2025-05-23 18:21:31.990,2025-05-24 12:41:54.998,mast:JWST/product/jw05893-o016_t016_nircam_clear-f200w_i2d.fits
266452905,5893,"Kakiichi, Koki",C3D-16_CWEBTILE-2-15,NIRCAM/IMAGE,COSMOS-3D: A Legacy Spectroscopic/Imaging Survey of the Early Universe,mast:JWST/product/jw05893-o016_t016_nircam_clear-f356w_i2d.jpg,2025-05-23 18:48:43.989,2025-05-24 12:41:42.998,mast:JWST/product/jw05893-o016_t016_nircam_clear-f356w_i2d.fits
266452788,5893,"Kakiichi, Koki",C3D-16_CWEBTILE-2-15,MIRI/IMAGE,COSMOS-3D: A Legacy Spectroscopic/Imaging Survey of the Early Universe,mast:JWST/product/jw05893-o016_t016_miri_f1000w_i2d.jpg,2025-05-23 18:48:35.605,2025-05-24 12:41:42.998,mast:JWST/product/jw05893-o016_t016_miri_f1000w_i2d.fits
266452786,5893,"Kakiichi, Koki",C3D-16_CWEBTILE-2-15,MIRI/IMAGE,COSMOS-3D: A Legacy Spectroscopic/Imaging Survey of the Early Universe,mast:JWST/product/jw05893-o016_t016_miri_f2100w_i2d.jpg,2025-05-23 18:21:29.366,2025-05-24 12:41:42.998,mast:JWST/product/jw05893-o016_t016_miri_f2100w_i2d.fits
215364261,2875,"Riess, Adam",NGC-3370,NIRCAM/IMAGE,"Scrutinizing the Dirtiest Cepheids, a Test of the Hubble Tension",mast:JWST/product/jw02875-o002_t007_nircam_clear-f150w_i2d.jpg,2024-05-23 13:51:17.231,2025-05-24 06:34:49.999,mast:JWST/product/jw02875-o002_t007_nircam_clear-f150w_i2d.fits
