obsid,proposal_id,proposal_pi,target_name,instrument_name,obs_title,jpegURL,dataURL,t_max,t_obs_release
349842116,3523,"Guarcello, Mario Giuseppe",CL-WESTERLUND-2-NIRCAM,NIRCAM/IMAGE,Evolution of protoplanetary disks and early stellar evolution in starburst: A NIRCam and MIRI observation of the young starburst cluster Westerlund 2,mast:JWST/product/jw03523-o005_t001_nircam_clear-f187n_i2d.jpg,mast:JWST/product/jw03523-o005_t001_nircam_clear-f187n_i2d.fits,2024-07-14 03:35:08.524,2025-07-14 12:01:10.996
349842120,3523,"Guarcello, Mario Giuseppe",CL-WESTERLUND-2-NIRCAM,NIRCAM/IMAGE,Evolution of protoplanetary disks and early stellar evolution in starburst: A NIRCam and MIRI observation of the young starburst cluster Westerlund 2,mast:JWST/product/jw03523-o005_t001_nircam_clear-f115w_i2d.jpg,mast:JWST/product/jw03523-o005_t001_nircam_clear-f115w_i2d.fits,2024-07-14 04:08:57.834,2025-07-14 12:01:10.996
349842124,3523,"Guarcello, Mario Giuseppe",CL-WESTERLUND-2-NIRCAM,NIRCAM/IMAGE,Evolution of protoplanetary disks and early stellar evolution in starburst: A NIRCam and MIRI observation of the young starburst cluster Westerlund 2,mast:JWST/product/jw03523-o005_t001_nircam_clear-f150w_i2d.jpg,mast:JWST/product/jw03523-o005_t001_nircam_clear-f150w_i2d.fits,2024-07-14 04:43:30.024,2025-07-14 12:01:10.996
349842125,3523,"Guarcello, Mario Giuseppe",CL-WESTERLUND-2-NIRCAM,NIRCAM/IMAGE,Evolution of protoplanetary disks and early stellar evolution in starburst: A NIRCam and MIRI observation of the young starburst cluster Westerlund 2,mast:JWST/product/jw03523-o005_t001_nircam_clear-f250m_i2d.jpg,mast:JWST/product/jw03523-o005_t001_nircam_clear-f250m_i2d.fits,2024-07-14 03:00:47.086,2025-07-14 12:01:10.996
349842119,3523,"Guarcello, Mario Giuseppe",CL-WESTERLUND-2-NIRCAM,NIRCAM/IMAGE,Evolution of protoplanetary disks and early stellar evolution in starburst: A NIRCam and MIRI observation of the young starburst cluster Westerlund 2,mast:JWST/product/jw03523-o005_t001_nircam_clear-f300m_i2d.jpg,mast:JWST/product/jw03523-o005_t001_nircam_clear-f300m_i2d.fits,2024-07-14 05:17:08.582,2025-07-14 12:01:10.996
349842122,3523,"Guarcello, Mario Giuseppe",CL-WESTERLUND-2-NIRCAM,NIRCAM/IMAGE,Evolution of protoplanetary disks and early stellar evolution in starburst: A NIRCam and MIRI observation of the young starburst cluster Westerlund 2,mast:JWST/product/jw03523-o005_t001_nircam_f405n-f444w_i2d.jpg,mast:JWST/product/jw03523-o005_t001_nircam_f405n-f444w_i2d.fits,2024-07-14 03:35:08.588,2025-07-14 12:01:10.996
349842121,3523,"Guarcello, Mario Giuseppe",CL-WESTERLUND-2-NIRCAM,NIRCAM/IMAGE,Evolution of protoplanetary disks and early stellar evolution in starburst: A NIRCam and MIRI observation of the young starburst cluster Westerlund 2,mast:JWST/product/jw03523-o005_t001_nircam_clear-f212n_i2d.jpg,mast:JWST/product/jw03523-o005_t001_nircam_clear-f212n_i2d.fits,2024-07-14 03:00:47.086,2025-07-14 12:01:10.996
349842117,3523,"Guarcello, Mario Giuseppe",CL-WESTERLUND-2-NIRCAM,NIRCAM/IMAGE,Evolution of protoplanetary disks and early stellar evolution in starburst: A NIRCam and MIRI observation of the young starburst cluster Westerlund 2,mast:JWST/product/jw03523-o005_t001_nircam_f322w2-f323n_i2d.jpg,mast:JWST/product/jw03523-o005_t001_nircam_f322w2-f323n_i2d.fits,2024-07-14 02:26:04.144,2025-07-14 12:01:10.996
349842115,3523,"Guarcello, Mario Giuseppe",CL-WESTERLUND-2-NIRCAM,NIRCAM/IMAGE,Evolution of protoplanetary disks and early stellar evolution in starburst: A NIRCam and MIRI observation of the young starburst cluster Westerlund 2,mast:JWST/product/jw03523-o005_t001_nircam_f444w-f466n_i2d.jpg,mast:JWST/product/jw03523-o005_t001_nircam_f444w-f466n_i2d.fits,2024-07-14 04:08:57.834,2025-07-14 12:01:10.996
349842118,3523,"Guarcello, Mario Giuseppe",CL-WESTERLUND-2-NIRCAM,NIRCAM/IMAGE,Evolution of protoplanetary disks and early stellar evolution in starburst: A NIRCam and MIRI observation of the young starburst cluster Westerlund 2,mast:JWST/product/jw03523-o005_t001_nircam_f150w2-f164n_i2d.jpg,mast:JWST/product/jw03523-o005_t001_nircam_f150w2-f164n_i2d.fits,2024-07-14 02:26:04.144,2025-07-14 12:01:10.996
349842114,3523,"Guarcello, Mario Giuseppe",CL-WESTERLUND-2-NIRCAM,NIRCAM/IMAGE,Evolution of protoplanetary disks and early stellar evolution in starburst: A NIRCam and MIRI observation of the young starburst cluster Westerlund 2,mast:JWST/product/jw03523-o005_t001_nircam_clear-f200w_i2d.jpg,mast:JWST/product/jw03523-o005_t001_nircam_clear-f200w_i2d.fits,2024-07-14 05:17:08.582,2025-07-14 12:01:10.996
349842123,3523,"Guarcello, Mario Giuseppe",CL-WESTERLUND-2-NIRCAM,NIRCAM/IMAGE,Evolution of protoplanetary disks and early stellar evolution in starburst: A NIRCam and MIRI observation of the young starburst cluster Westerlund 2,mast:JWST/product/jw03523-o005_t001_nircam_clear-f277w_i2d.jpg,mast:JWST/product/jw03523-o005_t001_nircam_clear-f277w_i2d.fits,2024-07-14 04:43:30.024,2025-07-14 12:01:10.996
277388060,3383,"Glazebrook, Karl",UNKNOWN,NIRISS/IMAGE,JWST Wide Area 3D Parallel Survey,mast:JWST/product/jw03383-c1078_t000_niriss_clear-f200w_i2d.jpg,mast:JWST/product/jw03383-c1078_t000_niriss_clear-f200w_i2d.fits,2024-03-14 00:45:50.023,2025-06-14 13:39:13.991
