file,width,height,offset,chosen,CRVAL1,CRVAL2
jw01905-o002_t001_miri_f1000w_i2d.fits,2277.0,2901.0,107.7356645756684,True,251.76799453095262,-45.84602714766459
jw01905-o002_t001_miri_f1130w_i2d.fits,2277.0,2901.0,107.7356645756684,True,251.7679891866425,-45.846035189577655
jw01905-o002_t001_miri_f770w_i2d.fits,2277.0,2901.0,107.7356645756684,True,251.7679666879032,-45.84602458691578
jw01905-o001_t001_nircam_clear-f115w_i2d.fits,11638.0,12151.0,121.17842464834496,True,251.7667926122577,-45.851166308455525
jw01905-o001_t001_nircam_f322w2-f323n_i2d.fits,5707.0,5960.0,121.17842464834496,True,251.76661309746163,-45.85130515818373
jw01905-o001_t001_nircam_f150w2-f164n_i2d.fits,11636.0,12149.0,121.17842464834496,True,251.76678999414742,-45.8511668375643
jw01905-o001_t001_nircam_clear-f444w_i2d.fits,5709.0,5961.0,121.17842464834496,False,251.76661002061644,-45.851309971147884
jw01905-o001_t001_nircam_clear-f187n_i2d.fits,11637.0,12146.0,121.17842464834496,True,251.76676426766423,-45.85115680385331
jw01905-o001_t001_nircam_clear-f212n_i2d.fits,11638.0,12152.0,121.17842464834496,True,251.76678994303387,-45.85116524060613
jw01905-o001_t001_nircam_f444w-f466n_i2d.fits,5707.0,5960.0,121.17842464834496,True,251.76661426264374,-45.851310947554495
jw01905-o001_t001_nircam_clear-f200w_i2d.fits,11641.0,12157.0,121.17842464834496,True,251.76681118729783,-45.851161960291904
jw01905-o001_t001_nircam_clear-f150w_i2d.fits,11638.0,12151.0,121.17842464834496,True,251.76679156887255,-45.851166388153246
jw01905-o001_t001_nircam_f405n-f444w_i2d.fits,5707.0,5960.0,121.17842464834496,True,251.76660811935133,-45.85130928409655
jw01905-o001_t001_nircam_clear-f277w_i2d.fits,5709.0,5962.0,121.17842464834496,True,251.7666043273374,-45.85131093154819
