file,chosen,CRVAL1fix,CRVAL2fix
jw03523-o004_t003_miri_f770w_i2d.fits,True,,
jw03523-o004_t003_miri_f1130w_i2d.fits,True,,
jw03523-o004_t003_miri_f1000w_i2d.fits,True,,
jw03523-o003_t003_nircam_clear-f200w_i2d.fits,True,,
jw03523-o003_t003_nircam_clear-f212n_i2d.fits,True,,
jw03523-o003_t003_nircam_clear-f335m_i2d.fits,True,,
jw03523-o003_t003_nircam_clear-f277w_i2d.fits,True,,
jw03523-o003_t003_nircam_clear-f187n_i2d.fits,True,,
jw03523-o003_t003_nircam_f444w-f466n_i2d.fits,True,,
jw03523-o003_t003_nircam_clear-f182m_i2d.fits,True,,
jw03523-o003_t003_nircam_f150w2-f162m_i2d.fits,True,,
jw03523-o003_t003_nircam_clear-f300m_i2d.fits,True,,
jw03523-o003_t003_nircam_clear-f150w_i2d.fits,True,,
jw03523-o003_t003_nircam_f322w2-f323n_i2d.fits,True,,
jw03523-o003_t003_nircam_clear-f115w_i2d.fits,True,,
jw03523-o003_t003_nircam_clear-f250m_i2d.fits,True,,
jw03523-o003_t003_nircam_f405n-f444w_i2d.fits,True,,
jw03523-o003_t003_nircam_f150w2-f164n_i2d.fits,True,,
jw03523-o003_t003_nircam_clear-f410m_i2d.fits,True,,
