file,width,height,offset,chosen,CRVAL1,CRVAL2,CRVAL1fix,CRVAL2fix
jw03707-o117_t054_miri_f2100w_i2d.fits,1178,1171,381.926574603959,True,344.864794240013,-37.7101455035977,,
jw03707-o117_t054_miri_f770w_i2d.fits,1178,1171,381.926574603959,True,344.864800146119,-37.7101386902277,,
jw03707-o118_t054_nircam_clear-f300m_i2d.fits,2174,2166,7.58729970089251,True,344.859053370918,-37.704262286962,344.85905,-37.704275
jw03707-o118_t054_nircam_clear-f150w_i2d.fits,4539,4518,7.58729970089251,True,344.859257775022,-37.7044670374221,,
jw03707-o118_t054_miri_f2100w_i2d.fits,1086,1076,3.099999942449,False,344.782321566709,-37.623532395942,,
jw03707-o118_t054_miri_f770w_i2d.fits,1086,1076,3.099999942449,False,344.782327566742,-37.6235256189797,,
jw03707-o118_t054_nircam_clear-f187n_i2d.fits,4539,4518,7.58729970089251,True,344.859259306121,-37.7044661400405,344.859255,-37.704465
jw03707-o118_t054_nircam_clear-f335m_i2d.fits,2174,2167,7.58729970089251,True,344.859049649556,-37.7042708279519,344.85905,-37.70428
jw03707-c1104_t054_miri_f2100w_i2d.fits,4541,1959,3.099999942449,False,344.824495131481,-37.6677986208453,,
jw03707-c1104_t054_miri_f770w_i2d.fits,4541,1959,3.099999942449,False,344.824501164997,-37.6677918678717,,
