file,width,height,offset,chosen,CRVAL1,CRVAL2
jw03907-o001_t001_niriss_clear-f200w_i2d.fits,2783,2233,24.2000713,False,112.9694083247,-16.9274879139095
jw03907-o001_t001_nircam_clear-f480m_i2d.fits,5640,2281,24.2000713,True,113.047441985769,-16.992048309471
jw03907-o001_t001_niriss_clear-f158m_i2d.fits,2782,2232,24.2000713,False,112.969406928945,-16.9275421979515
jw03907-o001_t001_nircam_f405n-f444w_i2d.fits,5639,2280,24.2000713,True,113.047422931463,-16.9920553585796
jw03907-o001_t001_nircam_clear-f182m_i2d.fits,11440,4738,24.2000713,True,113.047439106874,-16.9922544962932
jw03907-o001_t001_nircam_clear-f115w_i2d.fits,11375,4764,24.2000713,False,113.047352712315,-16.992031820596
jw03907-o001_t001_niriss_clearp-f480m_i2d.fits,2782,2232,24.2000713,False,112.969443572972,-16.9275297056122
jw03907-o001_t001_nircam_clear-f212n_i2d.fits,11440,4738,24.2000713,True,113.047429468736,-16.9922581748015
jw03907-o001_t001_nircam_f444w-f470n_i2d.fits,5635,2282,24.2000713,True,113.047417305304,-16.9920602297775
jw03907-o001_t001_niriss_clearp-f356w_i2d.fits,2783,2233,24.2000713,False,112.969409311554,-16.9275179197912
jw03907-o001_t001_nircam_f150w2-f162m_i2d.fits,11438,4737,24.2000713,True,113.047420781421,-16.9922578312289
jw03907-o001_t001_nircam_clear-f360m_i2d.fits,5641,2280,24.2000713,True,113.047448650787,-16.9920456231247
