file,width,height,offset,chosen,CRVAL1,CRVAL2,CRVAL1fix,CRVAL2fix
jw01187-o033_t003_nircam_clear-f356w_i2d.fits,4925,3888,80.0236214719531,True,260.653896849699,-23.798900927431,260.6545,-23.79898
jw01187-o033_t003_nircam_clear-f090w_i2d.fits,9979,7910,79.3167359655167,True,260.653721302464,-23.7990363127917,260.65432,-23.79913
jw01187-c1008_t003_nircam_clear-f090w_i2d.fits,10302,8395,82.7070700395987,False,260.654995856304,-23.79870232386,260.655595,-23.798798
jw01187-o034_t003_nircam_clear-f090w_i2d.fits,9978,7908,79.3167359655167,False,260.655073987572,-23.7985349112512,260.65567,-23.79862
jw01187-c1008_t003_nircam_clear-f356w_i2d.fits,5082,4122,82.7070700395987,False,260.655134092195,-23.7985678934441,260.65574,-23.79866
jw01187-o034_t003_nircam_clear-f356w_i2d.fits,4916,3881,80.377054335152,False,260.655209216077,-23.79839843685,260.65581,-23.79849
jw01187-o035_t003_nircam_clear-f356w_i2d.fits,4899,4169,104.579491561539,False,260.668631343893,-23.7994750389066,,
jw01187-o035_t003_nircam_clear-f150w_i2d.fits,10023,9988,79.3167359655167,True,260.67189718285,-23.8003216205672,,
jw01187-o035_t003_nircam_clear-f200w_i2d.fits,10104,8615,82.7070700395987,True,260.668452653222,-23.7996164521847,,
jw01187-o035_t003_nircam_clear-f444w_i2d.fits,4926,4924,82.7070700395987,True,260.672055158802,-23.8001809357578,,
jw01187-o035_t003_nircam_clear-f115w_i2d.fits,9978,8543,79.3167359655167,True,260.66846552323,-23.7996097464587,260.6688,-23.80069
jw01187-o035_t003_nircam_clear-f090w_i2d.fits,9940,8489,82.7070700395987,False,260.668463506332,-23.7996100338098,,
jw01187-c1002_t003_nircam_clear-f090w_i2d.fits,9977,9685,82.7070700395987,False,260.662765889323,-23.7993971009881,,
jw01187-c1002_t003_nircam_clear-f356w_i2d.fits,4916,4763,80.3770981023684,False,260.66293597176,-23.7992627642552,,
