file,width,height,offset,chosen,CRVAL1,CRVAL2
jw02080-o002_t001_nircam_f405n-f444w_i2d.fits,5758.0,4357.0,59.0889651,True,184.7514186845189,47.29992421008111
jw02080-o002_t001_nircam_clear-f182m_i2d.fits,11636.0,8928.0,82.5889405,True,184.75115098001277,47.29999025389179
jw02080-o002_t001_nircam_f444w-f466n_i2d.fits,5757.0,4357.0,82.5889405,True,184.75142036960617,47.29992866531151
jw02080-o002_t001_nircam_clear-f187n_i2d.fits,11636.0,8928.0,82.5889405,True,184.75115136533736,47.29998989807749
jw02080-o002_t001_nircam_f150w2-f162m_i2d.fits,11634.0,8927.0,82.5889405,True,184.7511518980582,47.29998923513377
jw02080-o002_t001_nircam_clear-f300m_i2d.fits,5760.0,4358.0,82.5889405,True,184.75142148462925,47.29991921025142
jw02080-o002_t001_nircam_clear-f335m_i2d.fits,5759.0,4358.0,59.0889651,True,184.75142140388587,47.29992350364043
jw02080-o002_t001_nircam_clear-f210m_i2d.fits,9873.0,4376.0,82.5889405,True,184.74115950283695,47.320056407287865
jw02080-o002_t001_nircam_clear-f360m_i2d.fits,4865.0,2105.0,82.5889405,True,184.74142944548694,47.3199894921052
jw02080-o002_t001_nircam_clear-f212n_i2d.fits,11636.0,8928.0,82.5889405,True,184.75115041347703,47.29998944296913
jw02080-o002_t001_nircam_f150w2-f164n_i2d.fits,11634.0,8927.0,82.5889405,True,184.75115087310803,47.29998873995484
jw02080-o002_t001_nircam_clear-f430m_i2d.fits,5759.0,4358.0,82.5889405,True,184.75141715434512,47.29991880455604
