file,width,height,offset,chosen,CRVAL1,CRVAL2,CRVAL1fix,CRVAL2fix
jw02107-o032_t014_nircam_clear-f200w_i2d.fits,4479,4470,62.6137269944768,True,185.745466877253,15.8172560391699,185.745435,15.817228
jw02107-o032_t014_nircam_clear-f300m_i2d.fits,2173,2168,55.8831912779988,True,185.74532817127,15.8170380767903,185.74532,15.817015
jw02107-o032_t014_nircam_clear-f335m_i2d.fits,2174,2167,377.693259665875,True,185.745349809038,15.8170437794135,185.74533,15.817015
jw02107-o032_t014_nircam_clear-f360m_i2d.fits,2175,2167,45.9082929667717,True,185.745340298923,15.8170364608691,185.74532,15.81701
jw02107-o014_t014_miri_f770w_i2d.fits,1784,2092,377.693259665875,True,185.728251198409,15.827521939908,185.7282,15.82752
jw02107-o014_t014_miri_f1000w_i2d.fits,1784,2092,377.693259665875,True,185.728267101636,15.8275194576564,185.72823,15.82752
jw02107-o014_t014_miri_f1130w_i2d.fits,1784,2092,371.697446250917,True,185.728263014744,15.8275113484798,185.72823,15.82752
jw02107-o014_t014_miri_f2100w_i2d.fits,1784,2092,56.4137275714629,True,185.728255590341,15.8275195400681,185.72823,15.82753
jw02107-o043_t014_nircam_clear-f200w_i2d.fits,4539,4518,386.159888411402,True,185.712558967576,15.8269109921359,,
jw02107-o043_t014_nircam_clear-f300m_i2d.fits,2174,2167,62.613726939899,True,185.712423704995,15.8266968638943,185.71244,15.826705
jw02107-o043_t014_nircam_clear-f335m_i2d.fits,2174,2167,62.613726939899,True,185.712429897059,15.8266959662751,185.71245,15.826707
jw02107-o043_t014_nircam_clear-f360m_i2d.fits,2174,2167,386.159888411402,True,185.712434744276,15.826691050737,185.71244,15.8267
