file,width,height,offset,chosen,CRVAL1,CRVAL2,CRVAL1fix,CRVAL2fix
jw04793-o017_t015_nircam_clear-f187n_i2d.fits,4909,4900,8.8200246,True,218.167643091854,-44.175077703333,218.167645,-44.17507
jw04793-o017_t015_nircam_f405n-f444w_i2d.fits,2357,2349,8.8200246,True,218.167433125336,-44.175274310967,,
jw04793-o017_t015_nircam_f150w2-f164n_i2d.fits,4911,4893,8.8200246,True,218.167642627119,-44.1750727584136,218.167645,-44.17507
jw04793-o017_t015_nircam_clear-f335m_i2d.fits,2356,2349,8.8200246,True,218.167432006902,-44.175264143484,,
jw04793-o017_t015_nircam_clear-f150w_i2d.fits,4910,4896,8.8200246,True,218.16764575892,-44.1750697874422,,
jw04793-o017_t015_nircam_clear-f444w_i2d.fits,2356,2349,8.8200246,True,218.167432124372,-44.1752656473467,,
jw04793-o017_t015_nircam_clear-f212n_i2d.fits,4909,4895,8.8200246,True,218.16763361053,-44.1750694412593,218.16764,-44.175063
jw04793-o017_t015_nircam_clear-f360m_i2d.fits,2356,2349,8.8200246,True,218.167433518866,-44.1752684903199,,
jw04793-o017_t015_nircam_clear-f200w_i2d.fits,4910,4896,8.8200246,True,218.167620774156,-44.1750725426244,,
jw04793-o017_t015_nircam_clear-f277w_i2d.fits,2356,2349,8.8200246,True,218.167410222395,-44.1752586741939,218.16742,-44.17526
