file,width,height,offset,chosen,CRVAL1,CRVAL2
jw01234-c1003_t005_nircam_clear-f356w_i2d.fits,4885.0,2125.0,6.326811682612701e-11,True,296.2137977418838,-14.904814969001835
jw01234-c1003_t005_miri_f2100w_i2d.fits,1055.0,1043.0,6.326811682612701e-11,True,296.2432101724106,-14.78373877708979
jw01234-c1003_t005_nircam_clear-f200w_i2d.fits,9947.0,4440.0,6.326811682612701e-11,False,296.21375420932725,-14.90516313750168
jw01234-c1003_t005_miri_f770w_i2d.fits,1039.0,1031.0,6.326811682612701e-11,True,296.24348087072667,-14.78350778546686
jw01234-c1003_t005_nircam_clear-f140m_i2d.fits,9964.0,4449.0,6.326811682612701e-11,True,296.2134460379008,-14.905250849463535
jw01234-c1003_t005_miri_f1000w_i2d.fits,1042.0,1034.0,6.326811682612701e-11,True,296.24349322388457,-14.783560254570867
jw01234-c1003_t005_nircam_clear-f444w_i2d.fits,4899.0,2136.0,6.326811682612701e-11,True,296.2138488451712,-14.904944488494584
jw01234-c1003_t005_miri_f1500w_i2d.fits,1048.0,1037.0,6.326811682612701e-11,True,296.2435155838435,-14.783652037688135
jw01234-c1003_t005_nircam_clear-f150w_i2d.fits,9923.0,4423.0,451.0121655244064,False,296.2137403950807,-14.905069546070255
jw01234-c1003_t005_nircam_clear-f277w_i2d.fits,4889.0,2131.0,451.0121655244064,False,296.21382636537044,-14.904856485561574
jw01234-c1003_t005_nircam_clear-f335m_i2d.fits,4908.0,2145.0,451.0121655244064,False,296.21352047982805,-14.905033870183471
jw01234-c1003_t005_nircam_clear-f115w_i2d.fits,9912.0,4412.0,451.0121655244064,False,296.21370887230177,-14.905020952517415
jw01234-o009_t005_nircam_clear-f200w_i2d.fits,9947.0,4440.0,451.0121655244064,True,296.21375420932725,-14.90516313750168
jw01234-o009_t005_nircam_clear-f140m_i2d.fits,9964.0,4449.0,451.0121655244064,False,296.2134460379008,-14.905250849463535
jw01234-o009_t005_nircam_clear-f356w_i2d.fits,4885.0,2125.0,451.0121655244064,False,296.2137977418838,-14.904814969001835
jw01234-o009_t005_nircam_clear-f150w_i2d.fits,9923.0,4423.0,451.0121655244064,True,296.2137403950807,-14.905069546070255
jw01234-o009_t005_miri_f1000w_i2d.fits,1042.0,1034.0,451.0121655244064,False,296.24349322388457,-14.783560254570867
jw01234-o009_t005_miri_f770w_i2d.fits,1039.0,1031.0,451.0121655244064,False,296.24348087072667,-14.78350778546686
jw01234-o009_t005_nircam_clear-f444w_i2d.fits,4899.0,2136.0,451.0121655244064,False,296.2138488451712,-14.904944488494584
jw01234-o009_t005_miri_f2100w_i2d.fits,1055.0,1043.0,451.0121655244064,False,296.2432101724106,-14.78373877708979
jw01234-o009_t005_nircam_clear-f277w_i2d.fits,4889.0,2131.0,451.0121655244064,True,296.21382636537044,-14.904856485561574
jw01234-o009_t005_nircam_clear-f115w_i2d.fits,9912.0,4412.0,451.0121655244064,True,296.21370887230177,-14.905020952517415
jw01234-o009_t005_miri_f1500w_i2d.fits,1048.0,1037.0,451.0121655244064,False,296.2435155838435,-14.783652037688135
jw01234-o009_t005_nircam_clear-f335m_i2d.fits,4908.0,2145.0,451.0121655244064,True,296.21352047982805,-14.905033870183471
