file,width,height,offset,chosen,CRVAL1,CRVAL2,CRVAL1fix,CRVAL2fix
jw03707-o011_t007_miri_f2100w_i2d.fits,1178,1171,381.926574603959,True,63.6584083909956,-56.0571285877901,63.65831,-56.05706
jw03707-o011_t007_miri_f770w_i2d.fits,1179,1171,381.926574603959,True,63.6584058810796,-56.0571337616408,63.6583,-56.057065
jw03707-o012_t007_nircam_clear-f150w_i2d.fits,4539,4520,7.58729970089251,True,63.6474099304298,-56.0607906791221,,
jw03707-o012_t007_miri_f2100w_i2d.fits,1086,1076,7.58729970089251,False,63.4906287178201,-56.1117616519976,,
jw03707-o012_t007_nircam_clear-f300m_i2d.fits,2174,2167,3.099999942449,True,63.6470065041462,-56.0609304201928,63.64703,-56.06093
jw03707-o012_t007_miri_f770w_i2d.fits,1086,1076,3.099999942449,False,63.4906178545658,-56.1117561077476,,
jw03707-c1060_t007_miri_f2100w_i2d.fits,4540,1960,7.58729970089251,False,63.5764294242114,-56.0839006736981,,
jw03707-c1060_t007_miri_f770w_i2d.fits,4540,1960,7.58729970089251,False,63.5764222639048,-56.0838958532152,,
jw03707-o012_t007_nircam_clear-f187n_i2d.fits,4539,4518,3.099999942449,True,63.6474016390832,-56.0607879599153,63.647395,-56.06079
jw03707-o012_t007_nircam_clear-f335m_i2d.fits,2175,2167,3.099999942449,True,63.6470152487156,-56.0609435261417,63.647025,-56.06094
