file,width,height,offset,chosen
jw01538-o046_t024_nircam_clear-f356w_i2d.fits,5854.0,3158.0,32.54756955641102,True
jw01538-o046_t024_nircam_clear-f070w_i2d.fits,12061.0,6564.0,32.54756955641102,True
jw01538-o046_t024_nircam_clear-f200w_i2d.fits,11882.0,6413.0,32.54756955641102,True
jw01538-o046_t024_nircam_clear-f150w_i2d.fits,11821.0,6398.0,33.43893035621832,True
jw01538-o046_t024_nircam_clear-f277w_i2d.fits,5863.0,3166.0,32.54756955641102,True
jw01538-o046_t024_nircam_clear-f460m_i2d.fits,5863.0,3164.0,32.54756955641102,True
jw01538-o046_t024_nircam_clear-f090w_i2d.fits,11999.0,6504.0,32.38166963800384,True
jw01538-o046_t024_nircam_clear-f444w_i2d.fits,5863.0,3165.0,32.38166963800384,True
jw01538-o046_t024_nircam_clear-f115w_i2d.fits,11903.0,6524.0,32.38166963800384,True
jw01538-o046_t024_nircam_clear-f250m_i2d.fits,5852.0,3159.0,33.43893035621832,True
