file,width,height,offset,chosen,CRVAL1,CRVAL2
jw01328-o029_t019_miri_f770w_i2d.fits,1066,1140,0.33482902733581,True,156.9689721277994,-43.9004778566586
jw01328-o029_t019_miri_f560w_i2d.fits,1068,1139,1.1585704489818,True,156.968959622203,-43.90048872498541
jw01328-o029_t019_miri_f1500w_i2d.fits,1068,1139,0.33482902733581,True,156.9689950138391,-43.90048648992249
jw01328-o012_t019_nircam_clear-f444w_i2d.fits,2314,2306,9.27210976717523,True,156.9621684205689,-43.89860952259307
jw01328-o012_t019_nircam_clear-f335m_i2d.fits,2314,2306,9.27210976717523,True,156.9621578576436,-43.89860925346782
jw01328-o012_t019_nircam_clear-f150w_i2d.fits,4740,4714,1.04735362653764,True,156.9624438366142,-43.8984517168708
jw01328-o012_t019_nircam_clear-f200w_i2d.fits,4823,4808,28.250087563085,True,156.9624202936176,-43.89845052575129
jw01328-o011_t019_miri_f1500w-sub128_i2d.fits,149,135,28.250087563085,False,156.9635261288489,-43.90409462518105
jw01328-o011_t019_miri_f560w-sub128_i2d.fits,149,135,28.250087563085,False,156.9634957620603,-43.9040884829525
jw01328-o011_t019_miri_f770w-sub128_i2d.fits,149,135,28.250087563085,False,156.9634918088898,-43.90408872807459
