"file","width","height","offset","chosen","CRVAL1","CRVAL2","CRVAL1fix","CRVAL2fix"
"jw06554-o001_t025_nircam_clear-f070w_i2d.fits",10442,4935,8.8200247,"True",243.246571638381,-36.2068483878687,,
"jw06554-o001_t025_nircam_clear-f187n_i2d.fits",10443,4935,34.9583202,"True",243.246574152259,-36.2068492175533,243.246576,-36.206842
"jw06554-o001_t025_nircam_clear-f212n_i2d.fits",10443,4935,8.8200247,"True",243.246574459646,-36.206849877714,243.246575,-36.206844
"jw06554-o001_t025_nircam_clear-f356w_i2d.fits",5146,2386,34.9583202,"True",243.246656152518,-36.2066971844223,243.24666,-36.206685
"jw06554-o001_t025_nircam_f405n-f444w_i2d.fits",5144,2385,8.8200247,"True",243.24665121903,-36.2066922986622,243.24666,-36.206682
"jw06554-o001_t025_nircam_f444w-f470n_i2d.fits",5140,2388,8.8200247,"True",243.246633472649,-36.206696399507,243.24663,-36.206685
"jw06554-o002_t025_miri_f770w_i2d.fits",1778,1164,8.8200247,"True",243.242746204807,-36.2358229514802,243.24282,-36.23581
"jw06554-o002_t025_miri_f1130w_i2d.fits",1778,1164,8.8200247,"True",243.242724750161,-36.2358171785192,243.2428,-36.23581
"jw06554-o002_t025_miri_f1280w_i2d.fits",1778,1164,34.9583202,"True",243.242720199219,-36.2358239114405,243.24279,-36.23581
"jw06554-o002_t025_miri_f1800w_i2d.fits",1778,1164,34.9583202,"True",243.242720473542,-36.2358096482793,243.2428,-36.23579
