file,width,height,offset,chosen,CRVAL1,CRVAL2
jw04498-o105_t002_miri_f560w_i2d.fits,1116.0,1139.0,0.0,True,244.93167523405765,55.56925343569843
jw04498-o105_t002_miri_f770w_i2d.fits,1116.0,1139.0,0.0,True,244.93168061961714,55.569253933680756
jw04498-o105_t002_miri_f1000w_i2d.fits,1116.0,1139.0,0.0,True,244.93165829819972,55.56926844093042
jw04498-o127_t002_niriss_clear-f200w-sub64_i2d.fits,73.0,72.0,0.0,True,244.94200209056817,55.57163337845115
jw04498-o127_t002_niriss_clear-f150w-sub64_i2d.fits,73.0,72.0,0.0,True,244.9419642218518,55.57159635445229
jw04498-o127_t002_niriss_clear-f140m-sub64_i2d.fits,73.0,72.0,0.0,True,244.94196640373988,55.571595571149906
jw04498-o127_t002_niriss_clear-f158m-sub64_i2d.fits,73.0,72.0,0.0,True,244.9419484566228,55.5715950517381
jw04498-o127_t002_niriss_clear-f090w-sub64_i2d.fits,73.0,72.0,0.0,True,244.94197358776947,55.571583573309034
jw04498-o127_t002_niriss_clearp-f444w-sub128_i2d.fits,137.0,136.0,0.0,True,244.94196600123317,55.571599941698
jw04498-o127_t002_niriss_clearp-f380m-sub256_i2d.fits,265.0,265.0,0.0,True,244.94196257780334,55.57158764421809
jw04498-o127_t002_niriss_clearp-f356w-sub128_i2d.fits,137.0,136.0,0.0,True,244.94196116108907,55.571600147412425
jw04498-o127_t002_niriss_clear-f115w-sub64_i2d.fits,73.0,72.0,0.0,True,244.94196346251482,55.57159805071398
jw04498-o127_t002_niriss_clearp-f430m-sub256_i2d.fits,265.0,265.0,3.9967538,True,244.94195895206366,55.571596841273205
jw04498-o127_t002_niriss_clearp-f480m-sub256_i2d.fits,265.0,265.0,3.9967538,True,244.94195752078056,55.57159166660471
jw04498-o127_t002_niriss_clearp-f277w-sub64_i2d.fits,73.0,72.0,3.9967538,True,244.94196843872615,55.57160063939852
