file,width,height,offset,chosen,CRVAL1,CRVAL2
jw02278-c1003_t001_nircam_f335m-maskrnd-sub320a335r_i2d.fits,369.0,371.0,6.9348939882822e-11,True,273.5440045108978,-32.79338003658263
jw02278-c1003_t001_nircam_f250m-maskrnd-sub320a335r_i2d.fits,369.0,371.0,6.9348939882822e-11,True,273.5440044964691,-32.79338007092489
jw02278-c1003_t001_nircam_f444w-maskrnd-sub320a335r_i2d.fits,369.0,371.0,6.9348939882822e-11,True,273.5440045085404,-32.7933800340897
jw02278-c1003_t001_nircam_f300m-maskrnd-sub320a335r_i2d.fits,369.0,371.0,6.9348939882822e-11,True,273.5440045101659,-32.79338004368113
jw02278-c1000_t001_nircam_f182m-maskrnd-sub640a210r_i2d.fits,740.0,741.0,6.9348939882822e-11,True,273.5443661809083,-32.79290311698178
jw02278-c1004_t001_nircam_f444w-maskrnd-sub320a335r_i2d.fits,369.0,371.0,6.9348939882822e-11,False,273.54400451044336,-32.79338003583091
jw02278-c1004_t001_nircam_f335m-maskrnd-sub320a335r_i2d.fits,369.0,371.0,6.9348939882822e-11,False,273.5440045128033,-32.79338003831654
jw02278-c1004_t001_nircam_f250m-maskrnd-sub320a335r_i2d.fits,369.0,371.0,6.9348939882822e-11,False,273.5440044983736,-32.79338007266887
jw02278-c1004_t001_nircam_f300m-maskrnd-sub320a335r_i2d.fits,369.0,371.0,6.9348939882822e-11,False,273.54400451206374,-32.793380045370554
jw02278-c1005_t001_nircam_f182m-maskrnd-sub640a210r_i2d.fits,740.0,741.0,6.9348939882822e-11,False,273.5443661809083,-32.79290311698178
jw02278-c1000_t001_nircam_f335m-maskrnd-sub320a335r_i2d.fits,369.0,371.0,6.9348939882822e-11,False,273.5440045128033,-32.79338003831654
jw02278-c1000_t001_nircam_f250m-maskrnd-sub320a335r_i2d.fits,369.0,371.0,6.9348939882822e-11,False,273.5440044983736,-32.79338007266887
jw02278-c1000_t001_nircam_f444w-maskrnd-sub320a335r_i2d.fits,369.0,371.0,7.15089940372158e-11,False,273.54400451044336,-32.79338003583091
jw02278-c1000_t001_nircam_f300m-maskrnd-sub320a335r_i2d.fits,369.0,371.0,7.15089940372158e-11,False,273.54400451206374,-32.793380045370554
