file,width,height,offset,chosen,CRVAL1,CRVAL2,CRVAL1fix,CRVAL2fix
jw02640-o001_t003_nircam_clear-f115w_i2d.fits,9855,4310,402.425128550232,True,156.048439082533,-57.6786105893213,,
jw02640-o001_t003_nircam_clear-f140m_i2d.fits,10010,4438,417.393289034656,True,156.048437856911,-57.6786113768962,156.04848,-57.678605
jw02640-o001_t003_nircam_f150w2-f162m_i2d.fits,10041,4411,416.701143463549,True,156.037419021779,-57.6784691549214,156.03746,-57.6784656
jw02640-o001_t003_nircam_clear-f182m_i2d.fits,9893,4395,417.406498631336,False,156.037415642544,-57.6784428273743,156.03746,-57.678465
jw02640-o001_t003_nircam_clear-f187n_i2d.fits,9911,4326,402.418523753891,False,156.048429079729,-57.678589921554,,
jw02640-o001_t003_nircam_clear-f210m_i2d.fits,9910,4326,417.057137096964,False,156.037416264019,-57.6784427253824,156.03746,-57.67846
jw02640-o001_t003_nircam_clear-f300m_i2d.fits,4876,2118,401.732983188967,False,156.03778276757,-57.6784317629448,156.03781,-57.678429
jw02640-o001_t003_nircam_clear-f335m_i2d.fits,4868,2116,402.425128550232,False,156.037778009154,-57.6784155562776,156.0378,-57.67842
jw02640-o001_t003_nircam_clear-f360m_i2d.fits,4877,2117,417.406498631336,False,156.037779607853,-57.6784294824161,156.0378,-57.678425
jw02640-o001_t003_nircam_f405n-f444w_i2d.fits,4876,2117,402.425128550232,True,156.048798640959,-57.6785728458307,156.04883,-57.67857
jw02640-o001_t003_nircam_clear-f444w_i2d.fits,4869,2114,416.701143463549,True,156.048795204504,-57.6785705799315,156.04883,-57.67856
jw02640-o001_t003_nircam_f444w-f466n_i2d.fits,4868,2115,402.418523753891,True,156.048775040027,-57.6785696542618,156.04881,-57.67856
