HSTYear,HSTMonth,HSTDay,HSTHour,HSTMin,HSTSec,Temp(C),Dew_Pt(C),RH(%),Wspd(mph),Wdir(deg),Peak_Wspd(mph),Pres(mb),Rain(mm),PW(mm)
2022,9,26,0,0,1,2.56,-16.89,22,0,0,0,,,
2022,9,26,0,1,1,2.65,-16.9,21,0,0,0,,,
2022,9,26,0,2,1,2.65,-16.9,21,0,0,0,,,
2022,9,26,0,3,1,2.68,-16.89,21,0,0,0,,,
2022,9,26,0,4,1,2.68,-16.89,21,0,0,0,,,
2022,9,26,0,5,1,2.65,-16.99,21,0,0,0,,,
2022,9,26,0,6,1,2.65,-16.99,21,0,0,0,,,
2022,9,26,0,7,1,2.69,-17.03,21,0,0,0,,,
2022,9,26,0,8,1,2.69,-17.03,21,0,0,0,,,
2022,9,26,0,9,1,2.68,-17.11,21,0,0,0,,,
2022,9,26,0,10,1,2.68,-17.11,21,0,0,0,,,
2022,9,26,0,11,1,2.52,-17.15,21,0,0,0,,,
2022,9,26,0,12,1,2.52,-17.15,21,0,0,0,,,
2022,9,26,0,13,1,2.53,-17.18,21,0,0,0,,,
2022,9,26,0,14,1,2.53,-17.18,21,0,0,0,,,
2022,9,26,0,15,1,2.63,-17.17,21,0,0,0,,,
2022,9,26,0,16,1,2.63,-17.17,21,0,0,0,,,
2022,9,26,0,17,1,2.61,-17.18,21,0,0,0,,,
2022,9,26,0,18,1,2.61,-17.18,21,0,0,0,,,
2022,9,26,0,19,1,2.58,-17.18,21,0,0,0,,,
2022,9,26,0,20,2,2.58,-17.18,21,0,0,0,,,
2022,9,26,0,21,1,2.71,-17.24,21,0,0,0,,,
2022,9,26,0,22,1,2.71,-17.24,21,0,0,0,,,
2022,9,26,0,23,1,2.69,-17.23,21,0,0,0,,,
2022,9,26,0,24,1,2.69,-17.23,21,0,0,0,,,
2022,9,26,0,25,1,2.68,-17.27,21,0,0,0,,,
2022,9,26,0,26,1,2.68,-17.27,21,0,0,0,,,
2022,9,26,0,27,1,2.76,-17.33,21,0,0,0,,,
2022,9,26,0,28,1,2.76,-17.33,21,0,0,0,,,
2022,9,26,0,29,1,2.7,-17.38,21,0,0,0,,,
2022,9,26,0,30,1,2.7,-17.38,21,0,0,0,,,
2022,9,26,0,31,1,2.82,-17.4,21,0,0,0,,,
2022,9,26,0,32,1,2.82,-17.4,21,0,0,0,,,
2022,9,26,0,33,1,2.7,-17.43,21,0,0,0,,,
2022,9,26,0,34,1,2.7,-17.43,21,0,0,0,,,
2022,9,26,0,35,1,2.79,-17.41,21,0,0,0,,,
2022,9,26,0,36,1,2.79,-17.41,21,0,0,0,,,
2022,9,26,0,37,2,2.71,-17.43,20,0,0,0,,,
2022,9,26,0,38,1,2.71,-17.43,20,0,0,0,,,
2022,9,26,0,39,1,2.88,-17.5,20,0,0,0,,,
2022,9,26,0,40,1,2.88,-17.5,20,0,0,0,,,
2022,9,26,0,41,1,2.84,-17.5,20,0,0,0,,,
2022,9,26,0,42,1,2.84,-17.5,20,0,0,0,,,
2022,9,26,0,43,1,2.84,-17.55,20,0,0,0,,,
2022,9,26,0,44,1,2.84,-17.55,20,0,0,0,,,
2022,9,26,0,45,1,2.79,-17.67,20,0,0,0,,,
2022,9,26,0,46,1,2.79,-17.67,20,0,0,0,,,
2022,9,26,0,47,1,2.78,0,20,0,0,0,,,
2022,9,26,0,48,1,2.78,0,20,0,0,0,,,
2022,9,26,0,49,1,2.97,0,20,0,0,0,,,
2022,9,26,0,50,1,2.97,0,20,0,0,0,,,
2022,9,26,0,51,1,2.98,-17.74,20,0,0,0,,,
2022,9,26,0,52,1,2.98,-17.74,20,0,0,0,,,
2022,9,26,0,53,1,3.14,-17.76,20,0,0,0,,,
2022,9,26,0,54,1,3.14,-17.76,20,0,0,0,,,
2022,9,26,0,55,1,3.03,-17.84,20,0,0,0,,,
2022,9,26,0,56,1,3.03,-17.84,20,0,0,0,,,
2022,9,26,0,57,1,3.02,-17.85,20,0,0,0,,,
2022,9,26,0,58,2,3.02,-17.85,20,0,0,0,,,
2022,9,26,0,59,1,3.21,-17.81,20,0,0,0,,,
2022,9,26,1,0,1,3.21,-17.81,20,0,0,0,,,
2022,9,26,1,1,1,3.27,-17.85,20,0,0,0,,,
2022,9,26,1,2,1,3.27,-17.85,20,0,0,0,,,
2022,9,26,1,3,2,3.23,-17.89,20,0,0,0,,,
2022,9,26,1,4,1,3.23,-17.89,20,0,0,0,,,
2022,9,26,1,5,1,3.32,-17.94,20,0,0,0,,,
2022,9,26,1,6,1,3.32,-17.94,20,0,0,0,,,
2022,9,26,1,7,1,3.4,-17.91,20,0,0,0,,,
2022,9,26,1,8,1,3.4,-17.91,20,0,0,0,,,
2022,9,26,1,9,1,3.42,-17.89,20,0,0,0,,,
2022,9,26,1,10,1,3.42,-17.89,20,0,0,0,,,
2022,9,26,1,11,1,3.39,-17.94,20,0,0,0,,,
2022,9,26,1,12,1,3.39,-17.94,20,0,0,0,,,
2022,9,26,1,13,1,3.39,-17.92,19,0,0,0,,,
2022,9,26,1,14,2,3.39,-17.92,19,0,0,0,,,
2022,9,26,1,15,1,3.37,-17.94,20,0,0,0,,,
2022,9,26,1,16,1,3.37,-17.94,20,0,0,0,,,
2022,9,26,1,17,1,3.3,-17.93,20,0,0,0,,,
2022,9,26,1,18,1,3.3,-17.93,20,0,0,0,,,
2022,9,26,1,19,2,3.3,-17.86,20,0,0,0,,,
2022,9,26,1,20,1,3.3,-17.86,20,0,0,0,,,
2022,9,26,1,21,1,3.19,-17.85,20,0,0,0,,,
2022,9,26,1,22,1,3.19,-17.85,20,0,0,0,,,
2022,9,26,1,23,1,3.09,-17.7,21,0,0,0,,,
2022,9,26,1,24,1,3.09,-17.7,21,0,0,0,,,
2022,9,26,1,25,1,3.06,-17.65,20,0,0,0,,,
2022,9,26,1,26,1,3.06,-17.65,20,0,0,0,,,
2022,9,26,1,27,1,2.92,-17.59,21,0,0,0,,,
2022,9,26,1,28,1,2.92,-17.59,21,0,0,0,,,
2022,9,26,1,29,1,2.96,-17.56,21,0,0,0,,,
2022,9,26,1,30,1,2.96,-17.56,21,0,0,0,,,
2022,9,26,1,31,1,2.92,-17.45,21,0,0,0,,,
2022,9,26,1,32,1,2.92,-17.45,21,0,0,0,,,
2022,9,26,1,33,1,2.97,-17.41,20,0,0,0,,,
2022,9,26,1,34,1,2.97,-17.41,20,0,0,0,,,
2022,9,26,1,35,1,2.91,-17.44,21,0,0,0,,,
2022,9,26,1,36,1,2.91,-17.44,21,0,0,0,,,
2022,9,26,1,37,1,2.85,-17.48,21,0,0,0,,,
2022,9,26,1,38,1,2.85,-17.48,21,0,0,0,,,
2022,9,26,1,39,1,2.97,-17.38,21,0,0,0,,,
2022,9,26,1,40,1,2.97,-17.38,21,0,0,0,,,
2022,9,26,1,41,1,3,-17.37,20,0,0,0,,,
2022,9,26,1,42,2,3,-17.37,20,0,0,0,,,
2022,9,26,1,43,1,3.01,-17.48,19,0,0,0,,,
2022,9,26,1,44,1,3.01,-17.48,19,0,0,0,,,
2022,9,26,1,45,1,3.05,-17.54,19,0,0,0,,,
2022,9,26,1,46,1,3.05,-17.54,19,0,0,0,,,
2022,9,26,1,47,1,3.05,-17.75,19,0,0,0,,,
2022,9,26,1,48,1,3.05,-17.75,19,0,0,0,,,
2022,9,26,1,49,1,3.36,-17.87,18,0,0,0,,,
2022,9,26,1,50,2,3.36,-17.87,18,0,0,0,,,
2022,9,26,1,51,1,3.01,-18.17,18,0,0,0,,,
2022,9,26,1,52,1,3.01,-18.17,18,0,0,0,,,
2022,9,26,1,53,1,2.8,-18.54,18,0,0,0,,,
2022,9,26,1,54,1,2.8,-18.54,18,0,0,0,,,
2022,9,26,1,55,1,2.77,-18.76,18,0,0,0,,,
2022,9,26,1,56,2,2.77,-18.76,18,0,0,0,,,
2022,9,26,1,57,1,3.04,-18.88,18,0,0,0,,,
2022,9,26,1,58,1,3.04,-18.88,18,0,0,0,,,
2022,9,26,1,59,1,2.96,-18.96,18,0,0,0,,,
2022,9,26,2,0,1,2.96,-18.96,18,0,0,0,,,
2022,9,26,2,1,1,2.93,-19.02,18,0,0,0,,,
2022,9,26,2,2,1,2.93,-19.02,18,0,0,0,,,
2022,9,26,2,3,1,3.02,-19.04,18,0,0,0,,,
2022,9,26,2,4,1,3.02,-19.04,18,0,0,0,,,
2022,9,26,2,5,1,3.07,-19.17,18,0,0,0,,,
2022,9,26,2,6,1,3.07,-19.17,18,0,0,0,,,
2022,9,26,2,7,1,3.09,-19.28,17,0,0,0,,,
2022,9,26,2,8,1,3.09,-19.28,17,0,0,0,,,
2022,9,26,2,9,1,3.05,-19.38,17,0,0,0,,,
2022,9,26,2,10,1,3.05,-19.38,17,0,0,0,,,
2022,9,26,2,11,1,3.15,-19.47,17,0,0,0,,,
2022,9,26,2,12,1,3.15,-19.47,17,0,0,0,,,
2022,9,26,2,13,1,3.29,-19.52,17,0,0,0,,,
2022,9,26,2,14,1,3.29,-19.52,17,0,0,0,,,
2022,9,26,2,15,1,3.19,-19.62,17,0,0,0,,,
2022,9,26,2,16,1,3.19,-19.62,17,0,0,0,,,
2022,9,26,2,17,1,3.21,-19.7,16,0,0,0,,,
2022,9,26,2,18,1,3.21,-19.7,16,0,0,0,,,
2022,9,26,2,19,2,3.47,-19.77,16,0,0,0,,,
2022,9,26,2,20,1,3.47,-19.77,16,0,0,0,,,
2022,9,26,2,21,1,3.67,-19.91,15,0,0,0,,,
2022,9,26,2,22,1,3.67,-19.91,15,0,0,0,,,
2022,9,26,2,23,1,4,-20.07,14,0,0,0,,,
2022,9,26,2,24,1,4,-20.07,14,0,0,0,,,
2022,9,26,2,25,1,4.37,-20.45,13,0,0,0,,,
2022,9,26,2,26,1,4.37,-20.45,13,0,0,0,,,
2022,9,26,2,27,1,4.53,-20.7,13,0,0,0,,,
2022,9,26,2,28,2,4.53,-20.7,13,0,0,0,,,
2022,9,26,2,29,1,4.53,-21.11,13,0,0,0,,,
2022,9,26,2,30,1,4.53,-21.11,13,0,0,0,,,
2022,9,26,2,31,1,4.32,-21.46,13,0,0,0,,,
2022,9,26,2,32,1,4.32,-21.46,13,0,0,0,,,
2022,9,26,2,33,1,4.24,-21.58,14,0,0,0,,,
2022,9,26,2,34,2,4.24,-21.58,14,0,0,0,,,
2022,9,26,2,35,1,3.96,-21.74,15,0,0,0,,,
2022,9,26,2,36,1,3.96,-21.74,15,0,0,0,,,
2022,9,26,2,37,1,3.76,-21.59,15,0,0,0,,,
2022,9,26,2,38,1,3.76,-21.59,15,0,0,0,,,
2022,9,26,2,39,1,3.68,-21.48,15,0,0,0,,,
2022,9,26,2,40,1,3.68,-21.48,15,0,0,0,,,
