release_date,collected_from,collected_to,NGC,target_name,filters,jpeg,proposal
2024-09-15,2024-09-15 03:28:43.480,2024-09-15 04:57:39.979,0,IC1954, 150  187  300  335  770 2100,mast:JWST/product/jw03707-o008_t005_nircam_clear-f150w_i2d.jpg,3707
2024-09-12,2023-09-08 23:51:42.234,2023-09-09 01:56:01.713,0,WR140, 770 1500 2100,mast:JWST/product/jw03823-o004_t009_miri_f770w_i2d.jpg,3823
2024-09-10,2023-09-09 17:58:20.563,2023-09-10 08:04:22.791,6302,NGC-6302-CENTER, 770 1000 1130,mast:JWST/product/jw01742-o002_t003_miri_f770w_i2d.jpg,1742
2024-09-09,2024-09-09 15:43:29.632,2024-09-09 16:37:10.297,224,M31_PN2538-new,115 277,mast:JWST/product/jw06642-o010_t004_nircam_clear-f115w_i2d.jpg,6642
2024-09-08,2024-09-08 05:51:57.382,2024-09-08 08:26:53.982,0,SN2024PXL, 560  770 1000,mast:JWST/product/jw06580-o009_t008_miri_f560w_i2d.jpg,6580
2024-09-08,2023-09-07 19:15:36.860,2023-09-07 19:27:57.733,0,HH-30-NIRCAM,200 444,mast:JWST/product/jw02562-o015_t003_nircam_clear-f200w_i2d.jpg,2562
2024-09-08,2023-09-07 19:46:07.142,2023-09-07 21:12:01.694,0,HH-30-MIRI, 770 1280 2100,mast:JWST/product/jw02562-o016_t004_miri_f770w-brightsky_i2d.jpg,2562
2024-08-30,2023-08-25 19:30:21.389,2023-08-26 12:01:50.759,1333,NGC-1333,150 200,mast:JWST/product/jw01202-o001_t001_niriss_clear-f150w_i2d.jpg,1202
2024-08-30,2023-08-29 09:17:26.640,2023-08-29 10:35:58.563,1365,NGC1365,115 356,mast:JWST/product/jw01995-o006_t006_nircam_clear-f115w_i2d.jpg,1995
2024-08-27,2023-08-25 15:53:49.081,2023-08-25 18:43:49.036,0,NAME-N6946-BH1, 115  182  250  360  560  770 1000 2100,mast:JWST/product/jw03772-o001_t001_nircam_clear-f115w_i2d.jpg,3772
2024-08-26,2024-08-25 21:36:08.997,2024-08-26 00:18:16.683,6300,NGC-6300,150 164 187 200 212 277 335 360 444,mast:JWST/product/jw04793-o016_t016_nircam_clear-f150w_i2d.jpg,4793
2024-08-26,2023-08-25 10:34:50.618,2023-08-25 11:44:32.709,0,V-V1003-OPH,1280,mast:JWST/product/jw01282-o016_t021_miri_f1280w_i2d.jpg,1282
2024-08-23,2023-08-17 12:19:32.376,2023-08-18 18:22:34.956,0,IC-1613, 115  150  200  300  335  360  560  770 1000 1130 1500,mast:JWST/product/jw02391-o006_t001_nircam_clear-f115w_i2d.jpg,2391
2024-08-20,2023-08-18 04:29:09.149,2023-08-18 05:40:54.649,1448,NGC-1448, 90 150 277,mast:JWST/product/jw01685-o014_t008_nircam_clear-f090w_i2d.jpg,1685
2024-08-20,2023-08-02 21:16:58.564,2023-08-02 22:29:05.555,1448,NGC-1448, 90 150 277,mast:JWST/product/jw01685-c1011_t008_nircam_clear-f090w_i2d.jpg,1685
2024-08-20,2023-08-20 11:08:36.969,2023-08-20 12:07:18.621,2442,NGC2442,115 356,mast:JWST/product/jw01995-o016_t016_nircam_clear-f115w_i2d.jpg,1995
2024-08-18,2024-08-18 11:18:03.820,2024-08-18 12:11:45.272,224,M31_PN2538,115 277,mast:JWST/product/jw06642-o001_t001_nircam_clear-f115w_i2d.jpg,6642
2024-08-16,2023-08-16 12:08:33.910,2023-08-16 12:33:15.601,0,SN-ZWICKY,115 150 356 444,mast:JWST/product/jw02905-o002_t001_nircam_clear-f115w_i2d.jpg,2905
2024-08-16,2023-08-16 07:22:41.543,2023-08-16 08:32:12.575,0,OPH-9-GY92-33,770,mast:JWST/product/jw03034-o009_t009_miri_f770w_i2d.jpg,3034
2024-08-16,2023-08-15 23:25:03.093,2023-08-16 00:02:50.301,6334,NGC6334M-A-25um,2550,mast:JWST/product/jw02526-o015_t015_miri_f2550w_i2d.jpg,2526
2024-08-16,2023-08-16 00:15:27.922,2023-08-16 00:53:12.378,6334,NGC6334M-B-25um,2550,mast:JWST/product/jw02526-o016_t016_miri_f2550w_i2d.jpg,2526
2024-08-16,2024-08-15 20:13:58.561,2024-08-15 22:41:58.900,0,SN2021aefx,1280 1500 1800 2100 2550,mast:JWST/product/jw06023-o001_t001_miri_f1280w_i2d.jpg,6023
2024-08-15,2023-08-14 23:58:10.010,2023-08-15 01:00:44.698,6334,NGC6334N-C,770,mast:JWST/product/jw02526-o012_t012_miri_f770w_i2d.jpg,2526
2024-08-15,2023-08-14 07:41:41.975,2023-08-14 08:35:32.180,6240,NGC6240-INT-MRS, 560  770 1130,mast:JWST/product/jw01265-o001_t004_miri_f560w_i2d.jpg,1265
2024-08-15,2023-08-14 18:34:27.053,2023-08-14 19:36:56.237,6334,NGC6334M-A,770,mast:JWST/product/jw02526-o007_t007_miri_f770w_i2d.jpg,2526
2024-08-15,2023-08-14 19:47:40.073,2023-08-14 20:50:11.945,6334,NGC6334M-B,770,mast:JWST/product/jw02526-o008_t008_miri_f770w_i2d.jpg,2526
2024-08-15,2023-08-14 21:32:17.314,2023-08-14 22:34:43.683,6334,NGC6334N-A,770,mast:JWST/product/jw02526-o010_t010_miri_f770w_i2d.jpg,2526
2024-08-15,2023-08-14 22:45:16.446,2023-08-14 23:47:48.382,6334,NGC6334N-B,770,mast:JWST/product/jw02526-o011_t011_miri_f770w_i2d.jpg,2526
2024-08-11,2023-08-11 02:00:24.857,2023-08-11 05:06:00.337,0,TOP-CLOUD-EDGE-H2O-FILTER-R,140 210 250,mast:JWST/product/jw04358-o003_t003_nircam_clear-f140m_i2d.jpg,4358
2024-08-10,2023-08-10 09:45:23.069,2023-08-10 10:22:57.939,0,GALCEN,212 444,mast:JWST/product/jw01939-o004_t001_nircam_clear-f212n_i2d.jpg,1939
